model,brand,colors,approx_price_EUR,img_url,display_size,display_type,CPU,RAM
Pop Up,alcatel,Various,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-up.jpg,720 x 1280 pixels (~294 ppi pixel density),Capacitive touchscreen  16M colors,Octa-core 1.4 GHz,2 GB RAM
Pop Star LTE,alcatel,Various,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-star.jpg,720 x 1280 pixels (~294 ppi pixel density),Capacitive touchscreen  16M colors,Quad-core 1.0 GHz Cortex-A53,1 GB RAM
Pop Star,alcatel,Various,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-star.jpg,720 x 1280 pixels (~294 ppi pixel density),Capacitive touchscreen  16M colors,Quad-core 1.3 GHz Cortex-A7,1 GB RAM
Go Play,alcatel,Various,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-go-play.jpg,720 x 1280 pixels (~294 ppi pixel density),Capacitive touchscreen  16M colors,Quad-core 1.2 GHz Cortex-A53,1 GB RAM
Flash Plus,alcatel,Slate/Gold,130,http://cdn2.gsmarena.com/vv/bigpic/alcatel-flash-plus1.jpg,720 x 1280 pixels (~267 ppi pixel density),Capacitive touchscreen  16M colors,Octa-core 1.5 GHz Cortex-A53,2 GB RAM
Pop Astro,alcatel,White,130,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch-pop-astro1.jpg,540 x 960 pixels (~245 ppi pixel density),TFT capacitive touchscreen  16M colors,Quad-core 1.5 GHz Cortex-A53,1 GB RAM
Flash,alcatel,Slate/white,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-flash-2014.jpg,720 x 1280 pixels (~267 ppi pixel density),Capacitive touchscreen  16M colors,Octa-core 1.4 GHz Cortex-A7,1 GB RAM
Idol 3 (5.5),alcatel,Various,250,http://cdn2.gsmarena.com/vv/bigpic/alcatel-idol-3-55-new.jpg,1080 x 1920 pixels (~401 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),2 GB RAM/ 32 GB| 2 GB RAM (Dual SIM model)
Idol 3 (4.7),alcatel,Various,200,http://cdn2.gsmarena.com/vv/bigpic/alcatel-idol-3-47-new.jpg,720 x 1280 pixels (~312 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.2 GHz Cortex-A53,1.5 GB RAM/ 16 GB| 1.5 GB RAM (Dual SIM model)
Orange Klif,alcatel,Black,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-klif.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,Dual-core 1.0 GHz,256 MB RAM
Pixi 3 (5.5) LTE,alcatel,Volcano Black| White| Amber Orange| Tango Red| Neon Pink| Laser Yellow| Vivid Green| Sharp Blue| Metallic Silver,120,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi3-55.jpg,720 x 1280 pixels (~267 ppi pixel density),TFT capacitive touchscreen  16M colors,Quad-core,1 GB RAM
Pixi 3 (5.5),alcatel,Volcano Black| White| Amber Orange| Tango Red| Neon Pink| Laser Yellow| Vivid Green| Sharp Blue| Metallic Silver,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi3-55.jpg,540 x 960 pixels (~200 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core Cortex-A7,1 GB RAM
Pixi 3 (8) 3G,alcatel,Yellow| Blue| Red| Black| White,100,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi-3-8-3g.jpg,800 x 1280 pixels (~189 ppi pixel density),TFT capacitive touchscreen,Dual-core 1.3 GHz Cortex-A7,1 GB RAM
Pixi 3 (7) LTE,alcatel,Yellow| Blue| Red| Pink,130,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi3-70.jpg,600 x 1024 pixels (~170 ppi pixel density),TFT capacitive touchscreen,Quad-core 1.1 GHz Cortex-A7,1 GB RAM
Pixi 3 (7) 3G,alcatel,Yellow| Blue| Red| Pink,100,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi3-70.jpg,600 x 1024 pixels (~170 ppi pixel density),TFT capacitive touchscreen,Dual-core 1.3 GHz Cortex-A7,512 MB RAM
Pixi 3 (7),alcatel,Yellow| Blue| Red| Pink,80,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi3-70.jpg,600 x 1024 pixels (~170 ppi pixel density),TFT capacitive touchscreen,Quad-core 1.3 GHz Cortex-A7,512 MB RAM
POP 10,alcatel,White| Dark grey,250,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-10.jpg,800 x 1280 pixels (~157 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.2 GHz Cortex-A53,1 GB RAM
Pixi 3 (5),alcatel,Various,80,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi-3-5.jpg,480 x 854 pixels (~196 ppi pixel density),TFT capacitive touchscreen  16M colors,Dual-core 1.3 GHz Cortex-A7 (3G model),512 MB RAM
Pixi 3 (4.5),alcatel,Various,60,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi-3-4.jpg,480 x 854 pixels (~218 ppi pixel density),TFT capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cortex-A7 (3G model),512 MB RAM
Pixi 3 (4),alcatel,Various,50,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi-3-4.jpg,480 x 800 pixels (~233 ppi pixel density),TFT capacitive touchscreen  16M colors,Dual-core 1.0 GHz Cortex-A7 (3G model),512 MB RAM
Pixi 3 (3.5) Firefox,alcatel,Various,40,http://cdn2.gsmarena.com/vv/bigpic/alcatel-p335-ff.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,Dual-core 1.0 GHz Cortex-A7,256/512 MB RAM
Pixi 3 (3.5),alcatel,Various,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi-3-3.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,Dual-core 1.0 GHz Cortex-A7,512 MB RAM
Pop D3,alcatel,Midnight Blue| Dark Chocolate| Dark Aubergine| White| Red| Yellow| Orange| Green| Purple,130,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-d3.jpg,480 x 800 pixels (~233 ppi pixel density),TFT capacitive touchscreen  256K colors,Dual-core 1.3 GHz,512 MB RAM
Pop D1,alcatel,Midnight Blue| Dark Chocolate| Dark Aubergine| White| Red| Yellow| Orange| Green| Purple,80,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-d1.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,Dual-core 1.0 GHz,512 MB RAM
Pop Icon,alcatel,Various,120,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-icon.jpg,540 x 960 pixels (~220 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.2 GHz,1 GB RAM
Fire C 2G,alcatel,Bluish Black| Dark Chocolate,30,http://cdn2.gsmarena.com/vv/bigpic/alcatel-fire-c-4020d.jpg,320 x 480 pixels (~165 ppi pixel density),TFT capacitive touchscreen  256K colors,1.0 GHz,128 MB RAM
Pop 2 (5) Premium,alcatel,White| Volcano Black| Full White,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pop-2-5-prem.jpg,720 x 1280 pixels (~294 ppi pixel density),IPS LCD capacitive touchscreen  16M colors,Quad-core 1.2 GHz,1 GB RAM
